,223,"Halásová Petra, JUDr.",vedúca netrestného oddelenia,Krajská prokuratúra,Nitra,1
,224,"Hamran Ladislav, JUDr.",,,,0
,225,"Hamranová Anikó, Mgr.",,,,0
,226,"Hanniker Ladislav, JUDr.",,,,0
,227,"Hanniker Lukáš, JUDr.",,,,0
,228,"Hansková Mária, JUDr.",,,,0
,229,"Harakaľ Slavomír, JUDr.",,,,0
,230,"Harkabus Matúš, JUDr.",,,,0
,231,"Hassan Jessy, JUDr.",Vedúci oddelenia prvostupňového a boja proti organizovanému zločinu,Krajská prokuratúra,Banská Bystrica,1
,232,"Hatala Peter, JUDr.",,,,0
,233,"Hausleitner Jozef, JUDr.",,,,0
,234,"Hausleitnerová Dagmar, JUDr.",,,,0
,235,"Hausleitnerová Petra, JUDr.",,,,0
,236,"Havrilčák Ján, JUDr.",,,,0
,237,"Havrilčáková Agáta, JUDr.",,,,0
,238,"Hazáková Lenka, JUDr.",,,,0
,239,"Heldiová Renáta, JUDr.",Poverená výkonom funkcie okresnej prokurátorky,Okresná prokuratúra,Topoľčany,1
,240,"Helingerová Linda, JUDr.",,,,0
,241,"Hendrichovský Matúš, JUDr.",,,,0
,242,"Hetényiová Katarína, Mgr.",,,,0
,243,"Hiklová Daša, Mgr.",,,,0
,244,"Hjelm Szakál Annamária, JUDr.",,,,0
,245,"Hodovanec Martin, JUDr.",,,,0
,246,"Hoffmann Marian, JUDr. PhD.",námestník okresného prokurátora,Okresná prokuratúra,Poprad,1
,247,"Holbík Marek, JUDr.",,,,0
,248,"Hollý Vladimír, JUDr.",Poverený výkonom funkcie námestníka okresnej prokurátorky,Okresná prokuratúra,Topoľčany,1
,249,"Hološová Edita, JUDr.",,,,0
,250,"Holzerová Monika, Mgr.",,,,0
,251,"Honz Tomáš, JUDr.",prokurátor,Úrad Špeciálnej prokuratúry,,1
,252,"Horňáková Veronika, JUDr.",,,,0
,253,"Horváth Lukáš, JUDr.",,,,0
,254,"Horváth Michal, JUDr.",Vedúci oddelenia korupčnej trestnej činnosti ústavných činiteľov a prokurátorov,Úrad Špeciálnej prokuratúry,Generálna prokuratúra,1
,255,"Horváth Peter, Mgr.",,Okresná prokuratúra,Považská Bystrica,1
,256,"Horvátová Lucia, JUDr.",,,,0
,257,"Hozová Zuzana, Mgr.",,,,0
,258,"Hrapková Miriam, JUDr.",Riaditeľka osobného úradu,Generálna prokuratúra,,1
,259,"Hrebeňák Vladimír, JUDr.",Poverený výkonom funkcie okresného prokurátora,Okresná prokuratúra,Stará Ľubovňa,1
,260,"Hric Peter, JUDr.",,,,0
,261,"Hrivnák Ján, JUDr.",prokurátor,Úrad Špeciálnej prokuratúry,,1
,262,"Hrončeková Drahomíra, JUDr.",,,,0
,263,"Hronec Martin, JUDr.",,Okresná prokuratúra,Brezno,1
,264,"Hrušecká Katarína, JUDr.",,,,0
,265,"Hruška Rastislav, JUDr. PhD.",Prokurátor,Okresná prokuratúra,Bratislava I,1
,266,"Hubertová Barbora, Mgr.",,,,0
,267,"Hudák Ľuboslav, JUDr.",,,,0
,268,"Hudák Marcel, JUDr.",,,,0
,269,"Hudec Juraj, JUDr.",,,,0
,270,"Hudecová Barbara, JUDr.",,,,0
,271,"Hudecová Jana, JUDr.",,Okresná prokuratúra,Trenčín,1
,272,"Hujsa Patrik, Mgr.",,,,0
,273,"Hulinová Zuzana, JUDr.",,,,0
,274,"Hullová Anetta, JUDr.",,,,0
,275,"Huna Mojmír, JUDr.",,,,0
,276,"Hunová Tatiana, JUDr.",,,,0
,277,"Hurta Dušan, JUDr.",,,,0
,278,"Huszár Gabriel, JUDr.",,,,0
,279,"Huszár Ivan, JUDr.",,,,0
,280,"Hvasta Marián, JUDr.",,,,0
,281,"Hvišč Ondrej, JUDr. PhD.",,,,0
,282,"Hvoľková Marianna, JUDr.",,,,0
,283,"Chabada Svetozár, JUDr.",,,,0
,284,"Chabadová Lucia, JUDr.",,,,0
,285,"Chlpíková Ľubica, JUDr.",Riaditeľka trestného odboru,Generálna prokuratúra,,1
,286,"Chmurová Martina, JUDr.",,,,0
,287,"Chomča Alexander, JUDr.",,,,0
,288,"Chovančíková Iveta, JUDr.",,,,0
,289,"Chylo Juraj, JUDr. PhD.",,,,0
,290,"Ivanová Patrícia, JUDr.",,,,0
,291,"Ivanová Zoja, JUDr.",,,,0
,292,"Izakovič Matej, JUDr.",,,,0
,293,"Izsák Attila, JUDr.",,,,0
,294,"Jahnátková Miroslava, JUDr.",,,,0
,295,"Jakabovičová Miriam, JUDr.",,,,0
,296,"Jakubčík Stanislav, JUDr.",,,,0
,297,"Jakubčíková Silvia, Mgr.",,,,0
,298,"Jakubovičová Beatrix, JUDr.",,,,0
,299,"Jamborová Andrea, Mgr.",,,,0
,300,"Jamborová Tatiana, JUDr.",,,,0
,301,"Jamrich Michal, JUDr.",,,,0
,302,"Jančár Marián, Mgr.",,,,0
,303,"Jančárová Michaela, JUDr.",,,,0
,304,"Jančová Andrea, Mgr.",,,,0
,305,"Janíček Oliver, JUDr.",,,,0
,306,"Janjicová Monika, JUDr.",,,,0
,307,"Jankovská Monika, JUDr.",,,,0
,308,"Jánošíková Tatjana, JUDr.",zástupkyňa riaditeľky a vedúca oddelenia vzťahov k ústavným orgánom,Generálna prokuratúra,,1
,309,"Janová Jarmila, JUDr.",,,,0
,310,"Janovcová Jana, Mgr.",,,,0
,311,"Jaňovková Zuzana, JUDr.",,,,0
,312,"Jarábek Tomáš, JUDr.",,,,0
