name	date	type
JUDr. Beata Bizoňová	21.1.2000	bez obmedzenia
JUDr. Marián Blaha	21.1.2000	bez obmedzenia
JUDr. Gabriela Brišková	14.3.2000	bez obmedzenia
JUDr. Ľubomír Bundzel	14.3.2000	bez obmedzenia
JUDr. Jana Coboriová	21.1.2000	bez obmedzenia
JUDr. Vladimír Červeňák	15.6.2000	bez obmedzenia
JUDr. Renáta Deáková	6.12.2000	bez obmedzenia
Mgr. Pavol Dekánek	21.1.2000	bez obmedzenia
JUDr. Viera Dubovinská	15.6.2000	bez obmedzenia
JUDr. Helena Dudzíková	6.12.2000	bez obmedzenia
Mgr. Ivana Dufalová	21.1.2000	bez obmedzenia
JUDr. Dušan Ecker	6.12.2000	bez obmedzenia
JUDr. Beata Farkašová	14.3.2000	bez obmedzenia
JUDr. Ľubica Filová	21.1.2000	bez obmedzenia
JUDr. Soňa Gašková	15.6.2000	bez obmedzenia
Mgr. Renáta Gavalcová	17.10.2000	bez obmedzenia
Mgr. Adriana Halajová	6.12.2000	bez obmedzenia
JUDr. Jana Halušková	14.3.2000	bez obmedzenia
JUDr. Ivica Hanusková	1.2.1996	n/a
Mgr. Emília Horňáková	21.1.2000	bez obmedzenia
Mgr. Bohuš Hruška	15.6.2000	bez obmedzenia
Mgr. Milan Hupka	6.12.2000	bez obmedzenia
Mgr. Roman Huszár	6.12.2000	bez obmedzenia
JUDr. Marta Kamenská	15.6.2000	bez obmedzenia
JUDr. Kajetán Kičura	21.1.2000	bez obmedzenia
JUDr. Dr. Ingrid Kišacová	6.12.2000	bez obmedzenia
JUDr. Renáta Kňazúrová	6.12.2000	bez obmedzenia
JUDr. Dáša Kontríková	15.6.2000	bez obmedzenia
JUDr. Klaudia Kosková	15.6.2000	bez obmedzenia
JUDr. Helena Kosorínová	21.1.2000	bez obmedzenia
JUDr. Elena Lámerová	17.10.2000	bez obmedzenia
JUDr. Juraj Lehotský	14.3.2000	bez obmedzenia
JUDr. Stanislav Libant	21.1.2000	bez obmedzenia
JUDr. Zuzana Lohnertová	6.12.2000	bez obmedzenia
JUDr. Martin Lopuch, PhD.	21.1.2000	bez obmedzenia
Mgr. Pavel Lukáč	14.3.2000	bez obmedzenia
Mgr. Jozef Mačej	15.6.2000	bez obmedzenia
Mgr. Danka Majdáková	17.10.2000	bez obmedzenia
JUDr. Katarína Marčeková	6.12.2000	bez obmedzenia
JUDr. Ľubica Medvecká, PhD.	21.1.2000	bez obmedzenia
Mgr. Viera Milatová, PhD.	15.6.2000	bez obmedzenia
Mgr. Slavomíra Mlynarčíková	6.12.2000	bez obmedzenia
Mgr. Erik Németh	14.3.2000	bez obmedzenia
Mgr. Adriana Némethová	21.1.2000	bez obmedzenia
Mgr. Michaela Pacherová, PhD.	14.3.2000	bez obmedzenia
JUDr. Mária Petrušková	15.6.2000	bez obmedzenia
JUDr. Peter Philadelphy	14.3.2000	bez obmedzenia
JUDr. Rastislav Plutinský	6.12.2000	bez obmedzenia
JUDr. Anna Pohančeníková	21.1.2000	bez obmedzenia
JUDr. Ivan Rumana	21.1.2000	bez obmedzenia
JUDr. Gabriel Slobodník	21.1.2000	bez obmedzenia
JUDr. Katarína Stanislavská	14.3.2000	bez obmedzenia
Mgr. Miroslav Šepták	17.10.2000	bez obmedzenia
JUDr. Ľudmila Škvaridlová	6.12.2000	bez obmedzenia
Mgr. Ivana Šlesarová	17.10.2000	bez obmedzenia
JUDr. Ján Šulaj	21.1.2000	bez obmedzenia
JUDr. Mário Šulej	6.12.2000	bez obmedzenia
Mgr. Miroslava Šúleková	14.3.2000	bez obmedzenia
Mgr. Andrea Tomašovičová	21.1.2000	bez obmedzenia
Mgr. Nora Tomková	6.12.2000	bez obmedzenia
JUDr. Michal Truban	21.1.2000	bez obmedzenia
JUDr. Jarmila Urbancová	21.1.2000	bez obmedzenia
Mária Zacková	14.3.2000	bez obmedzenia
JUDr. Alena Záhumenská	21.1.2000	bez obmedzenia
JUDr. Elena Zaťková	8.7.1998	bez obmedzenia
Mgr. Patrícia Železníková	6.12.2000	bez obmedzenia
