ID,Meno a priezvisko,Súd 2021,Potvrdené odvolania,Vybavenosť,Dispozičný čas,Restančné z nevybavených,Produktivita,,,,,,,
989,Anna Pikulová,Okresný súd Banská Bystrica,7,9,0,0,3,,,,,,,
990,Daniela Pilarčíková,Okresný súd Námestovo,3,4,5,5,7,,,,,,,
991,Zuzana Pilátová,Okresný súd Žilina,9,5,7,2,7,,,,,,,
993,Miriam Pintová,Okresný súd Levice,4,10,6,6,7,,,,,,,
996,Ladislav Piros,Okresný súd Dunajská Streda,0,6,6,1,9,,,,,,,
997,Valéria Píšová,Okresný súd Prievidza,N/A,N/A,N/A,N/A,N/A,,,,,,,
998,Mária Piusová,Okresný súd Senica,8,N/A,N/A,N/A,N/A,,,,,,,
999,Barbara Plaskurová,Okresný súd Nové Mesto nad Váhom,8,10,0,0,1,,,,,,,
1000,Anna Plichtíková,Okresný súd Čadca,2,0,3,8,4,,,,,,,
1001,Rastislav Plutinský,Okresný súd Dolný Kubín,5,4,7,6,2,,,,,,,
1002,Mariana Podbehlá,Okresný súd Nitra,6,9,5,5,10,,,,,,,
1004,Katarína Podhorcová,Okresný súd Liptovský Mikuláš,2,5,6,5,4,,,,,,,
1010,Marián Polaček,Okresný súd Prešov,3,4,4,0,5,,,,,,,
1013,Michal Polák,Okresný súd Košice II,2,5,4,2,4,,,,,,,
1014,Taťána Poláková,Mestský súd Bratislava IV,3,6,0,3,5,,,,,,,
1017,Ján Poprocký,Mestský Súd Košice,4,5,7,1,3,,,,,,,
1018,Tatiana Porubänová,Okresný súd Trenčín,5,9,4,5,4,,,,,,,
1019,Karol Posluch,Mestský súd Bratislava III,3,5,7,3,10,,,,,,,
1020,Hana Posluchová,Mestský súd Bratislava II,7,3,4,5,5,,,,,,,
1024,Raul Pospíšil,Mestský súd Bratislava II,3,8,2,1,10,,,,,,,
1028,Adriana Považanová,Okresný súd Partizánske,6,N/A,N/A,N/A,N/A,,,,,,,
1031,Janka Pravotiaková,Mestský Súd Košice,2,7,2,3,4,,,,,,,
1033,Lucia Prčová,Okresný súd Revúca,9,4,7,9,4,,,,,,,
1034,Štefan Precechtel,Okresný súd Levice,N/A,N/A,N/A,N/A,N/A,,,,,,,
1036,Patrik Príbelský,Okresný súd Trnava,6,N/A,N/A,N/A,N/A,,,,,,,
1037,Jozef Pribula,Okresný súd Košice okolie,2,N/A,N/A,N/A,N/A,,,,,,,
1040,Petra Priečinská,Mestský súd Bratislava II,6,9,4,4,10,,,,,,,
1043,Daniela Pristášová,Okresný súd Michalovce,5,8,3,4,9,,,,,,,
1045,Lenka Protznerová,Mestský Súd Košice,6,N/A,N/A,N/A,N/A,,,,,,,
1050,Darina Puklušová,Okresný súd Spišská Nová Ves,3,3,6,8,10,,,,,,,
1051,Peter Pulman,Okresný súd Banská Bystrica,6,N/A,N/A,N/A,N/A,,,,,,,
1052,Vladislav Puškáš,Okresný súd Bardejov,4,N/A,N/A,N/A,N/A,,,,,,,
1053,Iveta Puškášová,Okresný súd Košice okolie,1,5,3,4,10,,,,,,,
1054,Adriana Pytliaková Dr.,Okresný súd Čadca,6,0,3,8,3,,,,,,,
1055,Marta Raábová,Okresný súd Košice II,2,4,1,5,6,,,,,,,
1057,Miroslav Račko,Okresný súd Lučenec,6,4,9,8,1,,,,,,,
1058,Miroslav Radačovský,Okresný súd Poprad,3,N/A,N/A,N/A,N/A,,,,,,,
1060,Igor Ragan,Okresný súd Michalovce,6,N/A,N/A,N/A,N/A,,,,,,,
1061,Jana Raganová,Mestský Súd Košice,5,N/A,N/A,N/A,N/A,,,,,,,
1062,Peter Rajňák,Okresný súd Nové Zámky,1,8,5,4,9,,,,,,,
1063,Daniela Rajňáková,Okresný súd Nové Zámky,3,5,6,6,6,,,,,,,
1065,Tatiana Redenkovičová Koprdová,Mestský súd Bratislava IV,2,8,0,4,5,,,,,,,
1068,Roman Reištetter,Okresný súd Banská Bystrica,5,6,8,5,5,,,,,,,
1069,Gertrúda Rennerová,Okresný súd Levice,5,N/A,N/A,N/A,N/A,,,,,,,
1070,Miriam Repáková,Mestský súd Bratislava I,2,N/A,N/A,N/A,N/A,,,,,,,
1072,Gabriela Repková,Okresný súd Považská Bystrica,10,N/A,N/A,N/A,N/A,,,,,,,
1075,Zuzana Rigáňová,Mestský súd Bratislava IV,2,10,0,3,6,,,,,,,
1076,Božena Richtáriková,Mestský súd Bratislava III,3,N/A,N/A,N/A,N/A,,,,,,,
1080,Ivan Roháč,Okresný súd Humenné,0,N/A,N/A,N/A,N/A,,,,,,,
1081,Pavel Rohárik,Okresný súd Banská Bystrica,4,N/A,N/A,N/A,N/A,,,,,,,
1082,Marián Rošak,Okresný súd Martin,5,3,7,6,5,,,,,,,
1083,Alena Roštárová,Mestský súd Bratislava II,7,N/A,N/A,N/A,N/A,,,,,,,
1084,Pavol Roth,Okresný súd Poprad,5,3,6,1,3,,,,,,,
1085,Miroslav Rudinský,Okresný súd Malacky,0,10,1,2,8,,,,,,,
1087,Radoslav Rusnák,Okresný súd Spišská Nová Ves,7,5,8,4,2,,,,,,,
1088,Katarína Rusňáková,Mestský súd Bratislava V,5,0,2,6,8,,,,,,,
1089,Alica Ružbárska,Mestský súd Bratislava II,1,N/A,N/A,N/A,N/A,,,,,,,
1090,Milan Růžička,Okresný súd Veľký Krtíš,5,N/A,N/A,N/A,N/A,,,,,,,
1093,Ján Rybárik,Okresný súd Žilina,0,6,0,3,4,,,,,,,
1094,Marta Rybárová,Okresný súd Trenčín,6,N/A,N/A,N/A,N/A,,,,,,,
1095,Miroslav Rybčák,Okresný súd Bardejov,0,N/A,N/A,N/A,N/A,,,,,,,
1097,Tatiana Sabadošová,Okresný súd Michalovce,7,N/A,N/A,N/A,N/A,,,,,,,
1100,Edita Sahánková,Mestský súd Bratislava I,N/A,N/A,N/A,N/A,N/A,,,,,,,
1102,Antónia Salayová,Okresný súd Dunajská Streda,9,3,4,3,1,,,,,,,
1103,Lenka Saloková,Okresný súd Košice okolie,8,8,7,4,6,,,,,,,
1106,Viera Sandtnerová,Mestský súd Bratislava V,7,N/A,N/A,N/A,N/A,,,,,,,
1107,Zdenka Saraková,Okresný súd Bardejov,5,N/A,N/A,N/A,N/A,,,,,,,
1109,Andrea Sedlačková,Okresný súd Pezinok,9,N/A,N/A,N/A,N/A,,,,,,,
1112,Stanislava Semanová,Okresný súd Spišská Nová Ves,4,4,6,7,7,,,,,,,
1115,Beáta Schmidtová,Okresný súd Trenčín,4,4,7,4,8,,,,,,,
1116,Jana Scholtzová,Okresný súd Žilina,4,6,0,2,4,,,,,,,
1117,Jarmila Schromová,Okresný súd Prievidza,8,3,6,8,4,,,,,,,
1120,Eva Schweitzerová,Okresný súd Galanta,3,N/A,N/A,N/A,3,,,,,,,
1122,Rastislav Sikorjak,Okresný súd Prešov,7,5,5,6,8,,,,,,,
1123,Helena Silavecká,Okresný súd Skalica,1,N/A,N/A,N/A,N/A,,,,,,,
1125,Zuzana Singerová,Okresný súd Nitra,2,9,6,5,8,,,,,,,
1126,Monika Sitáriková,Okresný súd Bánovce nad Bebravou,9,10,7,4,3,,,,,,,
1127,Mária Sitárová,Okresný súd Nitra,6,4,7,7,7,,,,,,,
1128,Peter Sivák,Okresný súd Humenné,5,9,6,5,8,,,,,,,
1129,Ján Skalický,Okresný súd Pezinok,2,N/A,N/A,N/A,N/A,,,,,,,
1131,Patricia Skotnická,Mestský súd Bratislava I,10,N/A,N/A,N/A,N/A,,,,,,,
1133,Viera Sládečková,Mestský súd Bratislava III,3,0,0,4,7,,,,,,,
1136,Viera Sláviková,Okresný súd Senica,1,5,3,6,4,,,,,,,
1138,Iveta Slebodníková,Mestský Súd Košice,1,7,5,6,10,,,,,,,
1140,Gabriel Slobodník,Okresný súd Banská Bystrica,8,0,8,4,6,,,,,,,
1141,Vladimíra Slobodová,Mestský súd Bratislava V,5,3,3,6,9,,,,,,,
1143,Anna Slovinská,Okresný súd Spišská Nová Ves,2,N/A,N/A,N/A,N/A,,,,,,,
1144,Ján Slovinský,Okresný súd Spišská Nová Ves,6,N/A,N/A,N/A,N/A,,,,,,,
1146,Martin Smolko,Okresný súd Trnava,2,7,0,10,10,,,,,,,
1149,Marián Sninský,Okresný súd Humenné,1,N/A,N/A,N/A,N/A,,,,,,,
1150,Anna Snopčoková,Okresný súd Zvolen,7,N/A,N/A,N/A,N/A,,,,,,,
1151,Dagmar Snopeková,Okresný súd Topoľčany,6,4,5,6,5,,,,,,,
1152,Gabriela Sobolovská,Mestský súd Bratislava II,2,N/A,N/A,N/A,N/A,,,,,,,
1154,"Stanislav Sojka, PhD.",Okresný súd Michalovce,4,5,8,5,5,,,,,,,
1156,Dagmar Soliarová,Okresný súd Poprad,5,3,2,7,4,,,,,,,
1157,Iveta Sonderlichová,Okresný súd Košice okolie,8,6,8,2,2,,,,,,,
1159,Iveta Sopková,Okresný súd Trenčín,2,N/A,N/A,N/A,N/A,,,,,,,
1160,Marián Sopoliga,Okresný súd Trebišov,3,N/A,N/A,N/A,N/A,,,,,,,
1162,Angelika Sopoligová,Okresný súd Košice okolie,5,N/A,N/A,N/A,N/A,,,,,,,
1163,Vladimír Sopúch,Okresný súd Nitra,1,4,8,1,6,,,,,,,
1165,Zlatica Spurná,Okresný súd Žiar nad Hronom,10,N/A,N/A,N/A,N/A,,,,,,,
1166,Ivan Spurný,Okresný súd Žiar nad Hronom,5,N/A,N/A,N/A,N/A,,,,,,,
1167,Dušan Srogončík,Mestský súd Bratislava V,4,N/A,N/A,N/A,N/A,,,,,,,
1168,Miriam Srogončíková,Okresný súd Námestovo,4,5,3,4,7,,,,,,,
1169,Jana Sroková,Okresný súd Stará Ľubovňa,9,6,6,7,4,,,,,,,
1170,Andrej Stachovič,Okresný súd Nové Mesto nad Váhom,8,2,4,4,3,,,,,,,
1171,Ján Stanček,Okresný súd Pezinok,3,N/A,N/A,N/A,N/A,,,,,,,
1172,Milan Staněk,Mestský súd Bratislava II,4,N/A,N/A,N/A,N/A,,,,,,,
1173,Katarína Stanislavská,Okresný súd Trnava,8,N/A,N/A,N/A,N/A,,,,,,,
1175,Blažena Stašíková,Okresný súd Ružomberok,3,8,6,5,4,,,,,,,
1176,Ingrid Steinsdorferová,Okresný súd Banská Bystrica,7,7,6,6,4,,,,,,,
1177,Rastislav Stieranka,Okresný súd Dolný Kubín,2,N/A,N/A,N/A,N/A,,,,,,,
1179,Zuzana Stolárová,Mestský Súd Košice,7,N/A,N/A,N/A,N/A,,,,,,,
1181,Milan Straka,Okresný súd Trenčín,5,N/A,N/A,N/A,N/A,,,,,,,
1182,Peter Straka,Okresný súd Lučenec,4,8,5,6,9,,,,,,,
1184,Eva Straková,Okresný súd Prešov,5,N/A,N/A,N/A,N/A,,,,,,,
1185,Eva Strašková,Okresný súd Veľký Krtíš,3,N/A,N/A,N/A,N/A,,,,,,,
1186,Martin Stretavský,Okresný súd Michalovce,2,1,4,8,9,,,,,,,
1187,Miroslav Studenčan,Okresný súd Galanta,5,6,3,1,9,,,,,,,
1188,Júlia Stuhlmann – Podobová,Okresný súd Považská Bystrica,3,N/A,N/A,N/A,N/A,,,,,,,
1192,Eva Suchová,Mestský súd Bratislava IV,5,4,1,2,2,,,,,,,
1193,Božena Sukupčáková,Okresný súd Senica,5,N/A,N/A,N/A,N/A,,,,,,,
1194,Beáta Svediaková,Okresný súd Žilina,4,7,2,4,4,,,,,,,
1197,"Radoslav Svitana, PhD.",Okresný súd Bánovce nad Bebravou,9,N/A,N/A,N/A,N/A,,,,,,,
1198,Vincent Svoboda,Okresný súd Michalovce,6,N/A,N/A,N/A,N/A,,,,,,,
1200,Iveta Sýkorová,Okresný súd Žilina,4,0,0,2,2,,,,,,,
1201,Renáta Sýkorová,Okresný súd Žilina,5,7,5,5,8,,,,,,,
1202,Sylvia Szabadošová,Okresný súd Prešov,6,10,7,2,10,,,,,,,
1203,Eduard Szabo,Okresný súd Partizánske,2,4,4,7,5,,,,,,,
1206,Erika Szalaiová,Okresný súd Dunajská Streda,5,5,3,4,8,,,,,,,
1208,Adriana Szaniszlová,Okresný súd Košice II,3,0,3,6,10,,,,,,,
1209,Eva Szárazová,Okresný súd Nové Zámky,0,N/A,N/A,N/A,N/A,,,,,,,
1210,Miriam Szárazová,Okresný súd Stará Ľubovňa,5,3,2,7,4,,,,,,,
1211,Ľuboš Szigeti,Okresný súd Galanta,1,N/A,N/A,N/A,N/A,,,,,,,
1212,Juraj Szököl,Okresný súd Lučenec,8,N/A,N/A,N/A,N/A,,,,,,,
1213,Andrea Szombathová-Poláková,Okresný súd Nitra,4,N/A,N/A,N/A,N/A,,,,,,,
1214,Blažena Szpyrcová,Mestský Súd Košice,3,6,5,6,10,,,,,,,
1215,Emília Szullová,Mestský súd Bratislava I,5,N/A,N/A,N/A,N/A,,,,,,,
1216,Ľubomír Šabla,Okresný súd Revúca,10,N/A,N/A,N/A,N/A,,,,,,,
1217,Monika Šabľová,Okresný súd Poprad,6,2,2,4,3,,,,,,,
1218,Eva Šajmovičová,Mestský súd Bratislava V,3,N/A,N/A,N/A,N/A,,,,,,,
1220,Denisa Šaligová,Okresný súd Nitra,6,N/A,N/A,N/A,N/A,,,,,,,
1221,Peter Šamko,Okresný súd Pezinok,N/A,N/A,N/A,N/A,N/A,,,,,,,
1224,Miroslav Šanta,Okresný súd Zvolen,N/A,N/A,N/A,N/A,N/A,,,,,,,
1225,Marta Šašinková,Mestský súd Bratislava II,5,N/A,N/A,N/A,N/A,,,,,,,
1231,Marek Šenkár,Okresný súd Žilina,10,6,6,3,7,,,,,,,
1233,Vojtech Ševčík,Okresný súd Žiar nad Hronom,1,N/A,N/A,N/A,N/A,,,,,,,
1235,Dana Šiffalovičová,Mestský súd Bratislava IV,3,N/A,N/A,N/A,N/A,,,,,,,
1237,Ivan Šimek,Okresný súd Skalica,9,5,6,5,3,,,,,,,
1238,Katarína Šimková,Okresný súd Trenčín,7,10,6,5,4,,,,,,,
1240,Ingrid Šimonová,Okresný súd Piešťany,4,0,1,4,2,,,,,,,
1242,Alena Šišková,Okresný súd Topoľčany,N/A,N/A,N/A,N/A,N/A,,,,,,,
1243,Eva Šišková,Okresný súd Nitra,7,N/A,N/A,N/A,N/A,,,,,,,
1244,Klaudia Šišková,Okresný súd Prievidza,9,5,7,7,4,,,,,,,
1245,Monika Školníková,Mestský súd Bratislava II,5,N/A,N/A,N/A,N/A,,,,,,,
1249,Katarína Škrovanová,Okresný súd Senica,4,4,4,6,5,,,,,,,
1250,Igor Škultéty,Mestský súd Bratislava V,1,N/A,N/A,N/A,N/A,,,,,,,
1251,Katarína Škultétyová,Mestský súd Bratislava I,5,3,0,1,2,,,,,,,
1253,Ľudmila Škvaridlová,Okresný súd Prievidza,8,7,5,6,5,,,,,,,
1255,Ivana Šlesarová,Okresný súd Považská Bystrica,10,N/A,N/A,N/A,N/A,,,,,,,
1256,Magdaléna Šmidtová,Okresný súd Martin,4,N/A,N/A,N/A,N/A,,,,,,,
1257,Ján Šmrhola,Okresný súd Levice,6,3,7,7,10,,,,,,,
1262,Robert Šorl PhD.,Okresný súd Prievidza,6,N/A,N/A,N/A,N/A,,,,,,,
1263,Mária Špániková,Okresný súd Pezinok,2,N/A,N/A,N/A,N/A,,,,,,,
1267,Miroslava Štannerová,Mestský súd Bratislava V,8,N/A,N/A,N/A,N/A,,,,,,,
1268,Katarína Šťastná,Okresný súd Spišská Nová Ves,5,10,6,0,5,,,,,,,
1269,Gabriel Štefanič,Okresný súd Michalovce,5,7,5,7,8,,,,,,,
1270,Agáta Štefaničová,Okresný súd Michalovce,5,0,4,9,5,,,,,,,
1271,Barbora Štefanová,Okresný súd Trenčín,8,6,1,6,3,,,,,,,
1272,Juraj Šteffel,Okresný súd Kežmarok,2,7,6,4,6,,,,,,,
1273,René Štepánik,Mestský súd Bratislava V,4,3,6,1,4,,,,,,,
1274,Jana Štepániková,Mestský súd Bratislava II,0,7,2,2,9,,,,,,,
1275,Ivan Štepita,Okresný súd Ružomberok,5,4,7,5,5,,,,,,,
1276,Patrik Števík,Mestský súd Bratislava II,4,0,0,3,4,,,,,,,
1277,Peter Štift,Mestský súd Bratislava II,5,N/A,N/A,N/A,N/A,,,,,,,
1278,Ivana Štiftová,Mestský súd Bratislava II,3,N/A,N/A,N/A,N/A,,,,,,,
1279,Michaela Štiglicová,Okresný súd Pezinok,3,8,7,7,5,,,,,,,
1280,Miriam Štillová,Okresný súd Martin,8,7,5,7,5,,,,,,,
1283,Martin Štubniak,Okresný súd Žiar nad Hronom,5,N/A,N/A,N/A,N/A,,,,,,,
1284,Zuzana Štubniaková Kochanová,Okresný súd Zvolen,3,5,4,2,8,,,,,,,
1285,Ján Šulaj,Okresný súd Lučenec,6,7,7,8,6,,,,,,,
1286,Renáta Šulajová,Okresný súd Lučenec,7,5,7,10,8,,,,,,,
1287,Tibor Šulák,Okresný súd Komárno,1,N/A,N/A,N/A,N/A,,,,,,,
1288,Mário Šulej,Okresný súd Brezno,8,N/A,N/A,N/A,N/A,,,,,,,
1289,Miroslava Šúleková,Okresný súd Topoľčany,2,1,7,7,5,,,,,,,
1290,Svetlana Šupová,Mestský Súd Košice,N/A,N/A,N/A,N/A,N/A,,,,,,,
1291,Elena Šuríková,Okresný súd Nové Mesto nad Váhom,2,N/A,N/A,N/A,N/A,,,,,,,
1292,Peter Šuťák,Okresný súd Prešov,4,5,6,0,6,,,,,,,
1293,Beáta Šuťaková,Okresný súd Prešov,5,4,7,2,6,,,,,,,
1296,Zdenko Švárny,Okresný súd Michalovce,2,6,0,5,7,,,,,,,
1298,Alena Švehlová,Okresný súd Liptovský Mikuláš,0,N/A,N/A,N/A,N/A,,,,,,,
1299,Silvia Šviderská,Okresný súd Vranov nad Topľou,7,0,3,8,8,,,,,,,
1300,Lea Švrčeková,Okresný súd Košice okolie,3,N/A,N/A,N/A,N/A,,,,,,,
1301,Ida Takáčová,Mestský súd Bratislava IV,6,N/A,N/A,N/A,N/A,,,,,,,
1304,Klaudia Talašová,Mestský súd Bratislava V,7,N/A,N/A,N/A,N/A,,,,,,,
1305,Jana Tamášiová,Mestský súd Bratislava V,3,8,0,2,5,,,,,,,
1306,Oľga Tatranská,Okresný súd Košice okolie,2,N/A,N/A,N/A,N/A,,,,,,,
1307,Bibiana Ťažiarová,Okresný súd Trnava,7,N/A,N/A,N/A,N/A,,,,,,,
1308,Štefan Ťažký,Okresný súd Kežmarok,2,N/A,N/A,N/A,N/A,,,,,,,
1310,Marián Tengely,Okresný súd Rožňava,8,6,6,6,0,,,,,,,
1311,Daniela Terenová,Mestský súd Bratislava II,4,N/A,N/A,N/A,N/A,,,,,,,
1312,Roman Tichý,Okresný súd Martin,4,N/A,N/A,N/A,N/A,,,,,,,
1314,Silvia Tisová,Okresný súd Žilina,2,7,2,3,2,,,,,,,
1317,Monika Tobiašová,Okresný súd Prešov,1,N/A,N/A,N/A,N/A,,,,,,,
1318,Miroslav Toma,Okresný súd Žiar nad Hronom,3,6,8,4,7,,,,,,,
1320,Nadežda Tomanicová,Mestský súd Bratislava IV,3,N/A,N/A,N/A,N/A,,,,,,,
1321,Pavol Tomáš,Okresný súd Banská Bystrica,0,0,6,2,6,,,,,,,
1322,Štefan Tomáš,Okresný súd Žilina,6,0,7,4,2,,,,,,,
1323,Zdenka Tomašková,Okresný súd Bardejov,0,8,6,0,6,,,,,,,
1324,Andrea Tomašovičová,Okresný súd Trnava,6,10,3,1,6,,,,,,,
1325,Štefan Tomašovský,Okresný súd Prešov,3,10,2,2,1,,,,,,,
1327,G.Tomčovčíková Šandalová,Okresný súd Košice II,4,N/A,N/A,N/A,N/A,,,,,,,
1328,Pavol Tomík,Mestský súd Bratislava I,7,6,5,1,4,,,,,,,
1330,Vladimír Topoľančík,Okresný súd Ružomberok,7,8,6,7,3,,,,,,,
1331,Renáta Topolčanská,Okresný súd Trenčín,6,7,6,4,4,,,,,,,
1332,Bohuslav Toporcer,Okresný súd Stará Ľubovňa,0,N/A,N/A,N/A,N/A,,,,,,,
1333,Marián Török,Okresný súd Revúca,2,6,8,8,5,,,,,,,
1334,Lucia Tóth,Mestský súd Bratislava IV,5,N/A,N/A,N/A,N/A,,,,,,,
1335,Július Tóth,Mestský Súd Košice,3,N/A,N/A,N/A,N/A,,,,,,,
1338,Eva Tóthová,Okresný súd Trenčín,6,5,8,5,10,,,,,,,
1339,Jana Tóthová,Okresný súd Trnava,0,N/A,N/A,N/A,N/A,,,,,,,
1340,Mária Tóthová,Okresný súd Trenčín,8,N/A,N/A,N/A,N/A,,,,,,,
1344,Eva Triznová,Okresný súd Lučenec,5,N/A,N/A,N/A,N/A,,,,,,,
1345,Martina Trnavská,Okresný súd Trenčín,10,N/A,N/A,N/A,N/A,,,,,,,
1346,Anna Trnková,Okresný súd Nitra,3,N/A,N/A,N/A,N/A,,,,,,,
1348,Erika Trtalová,Okresný súd Nové Mesto nad Váhom,4,5,3,3,8,,,,,,,
1350,"Mária Trubanová, PhD",Okresný súd Pezinok,N/A,N/A,N/A,N/A,N/A,,,,,,,
1351,Milan Trylč,Okresný súd Senica,2,5,7,7,3,,,,,,,
1352,Jana Třešková,Okresný súd Senica,7,1,1,3,3,,,,,,,
1353,Gabriela Tučková,Okresný súd Žilina,2,N/A,N/A,N/A,N/A,,,,,,,
1355,Eva Tulejová,Mestský súd Bratislava I,5,6,0,0,4,,,,,,,
1356,Noema Turanovičová,Okresný súd Prievidza,6,8,7,0,6,,,,,,,
1357,Janka Túryová,Okresný súd Košice II,4,N/A,N/A,N/A,N/A,,,,,,,
1358,Jozef Turza,Okresný súd Ružomberok,8,N/A,N/A,N/A,N/A,,,,,,,
1360,Jana Tvrdá,Okresný súd Piešťany,7,10,10,,2,,,,,,,
1361,Mária Tvrdíková,Okresný súd Svidník,8,3,3,5,6,,,,,,,
1363,Erik Uhlár,Okresný súd Stará Ľubovňa,6,5,5,0,2,,,,,,,
1364,Michal Uhorskai,Okresný súd Revúca,5,6,9,6,7,,,,,,,
1365,Viera Ulacká,Mestský súd Bratislava V,8,N/A,N/A,N/A,N/A,,,,,,,
1366,Eva Uličná,Okresný súd Liptovský Mikuláš,8,6,5,5,3,,,,,,,
1367,Adela Unčovská,Mestský súd Bratislava I,7,N/A,N/A,N/A,N/A,,,,,,,
1368,Július Urban,Okresný súd Dunajská Streda,0,N/A,N/A,N/A,N/A,,,,,,,
1374,Soňa Vacková,Okresný súd Nitra,10,N/A,N/A,N/A,N/A,,,,,,,
1375,Katarína Vachulíková,Okresný súd Nové Zámky,2,3,4,6,5,,,,,,,
1377,Juraj Valášek,Okresný súd Bánovce nad Bebravou,9,6,7,5,5,,,,,,,
1380,Eduard Valenčin,Okresný súd Prešov,8,N/A,N/A,N/A,6,,,,,,,
1381,Igor Valent,Okresný súd Žiar nad Hronom,7,5,8,8,6,,,,,,,
1382,Martina Valentová,Okresný súd Trnava,6,N/A,N/A,N/A,N/A,,,,,,,
1383,Kristína Valková,Okresný súd Senica,0,N/A,N/A,N/A,N/A,,,,,,,
1384,Vlastimil Valkovič,Okresný súd Topoľčany,4,2,4,5,6,,,,,,,
1386,Dagmar Valocká,Okresný súd Trnava,5,N/A,N/A,N/A,N/A,,,,,,,
1388,Milan Vaľuš,Okresný súd Vranov nad Topľou,6,4,3,5,5,,,,,,,
1391,Ľuboslava Vanková,Okresný súd Trnava,8,N/A,N/A,N/A,N/A,,,,,,,
1392,Pavol Varečka,Okresný súd Nitra,5,N/A,N/A,N/A,0,,,,,,,
1393,Erik Varga,Okresný súd Rimavská Sobota,N/A,N/A,N/A,N/A,N/A,,,,,,,
1394,Milan Varga,Okresný súd Veľký Krtíš,5,N/A,N/A,N/A,N/A,,,,,,,
1395,Pavel Varga,Mestský Súd Košice,4,1,1,3,5,,,,,,,
1396,Rastislav Varga,Okresný súd Prešov,4,N/A,N/A,N/A,N/A,,,,,,,
1397,Vladimír Varga,Okresný súd Humenné,3,6,7,3,5,,,,,,,
1398,Anna Vargová,Okresný súd Košice II,6,10,2,5,10,,,,,,,
1400,Eva Vargová,Okresný súd Trebišov,3,N/A,N/A,N/A,0,,,,,,,
1401,Jana Vargová,Okresný súd Čadca,N/A,N/A,N/A,N/A,N/A,,,,,,,
1402,Ľubov Vargová,Okresný súd Humenné,5,5,7,6,10,,,,,,,
1405,Ružena Vašková,Okresný súd Vranov nad Topľou,8,N/A,N/A,N/A,N/A,,,,,,,
1407,Ladislav Vašut,Okresný súd Považská Bystrica,6,N/A,N/A,N/A,N/A,,,,,,,
1408,Dagmar Vaverčáková,Mestský súd Bratislava III,7,0,0,4,7,,,,,,,
1409,Gabriela Véghová,Okresný súd Galanta,4,N/A,N/A,N/A,N/A,,,,,,,
1410,Denis Vékony,Okresný súd Trenčín,3,N/A,N/A,N/A,N/A,,,,,,,
1411,Eva Vékonyová,Okresný súd Trenčín,8,N/A,N/A,N/A,N/A,,,,,,,
1412,Ildikó Vekrbauerová,Mestský Súd Košice,5,2,3,3,1,,,,,,,
1413,Sandra Veľká,Mestský Súd Košice,3,0,1,7,6,,,,,,,
1414,Ľuboš Vereš,Mestský Súd Košice,3,6,8,2,4,,,,,,,
1415,Jana Veselá,Okresný súd Dolný Kubín,6,2,5,7,1,,,,,,,
1417,Danica Veselovská,Okresný súd Malacky,2,N/A,N/A,N/A,N/A,,,,,,,
1419,Róbert Veterník,Okresný súd Martin,7,3,6,3,3,,,,,,,
1421,Lucia Vícenová,Okresný súd Pezinok,5,10,1,3,4,,,,,,,
1426,Nora Vladová,Mestský súd Bratislava II,4,N/A,N/A,N/A,N/A,,,,,,,
1427,Marián Vladovič,Okresný súd Veľký Krtíš,3,N/A,N/A,N/A,N/A,,,,,,,
1429,Diana Vlčková,Okresný súd Prešov,7,6,4,6,8,,,,,,,
1431,Andrea Vojteková Fejérová,Okresný súd Nové Mesto nad Váhom,6,4,0,4,5,,,,,,,
1432,Myrtill Vojteková,Okresný súd Galanta,4,2,4,7,6,,,,,,,
1433,Stanislav Vojtko,Okresný súd Michalovce,6,6,8,4,7,,,,,,,
1435,Marián Vorobel,Okresný súd Prešov,5,4,7,3,6,,,,,,,
1436,Katarína Vorobelová,Okresný súd Prešov,6,0,3,10,10,,,,,,,
1437,Alica Vörösová,Okresný súd Dunajská Streda,3,3,6,6,7,,,,,,,
1440,Mária Vrtochová,Okresný súd Bánovce nad Bebravou,8,N/A,N/A,N/A,N/A,,,,,,,
1442,Andrea Vyskočová,Okresný súd Trnava,5,N/A,N/A,N/A,N/A,,,,,,,
1444,Zlatica Vysocká,Okresný súd Čadca,2,N/A,N/A,N/A,N/A,,,,,,,
1445,Eliška Wagshalová,Okresný súd Prešov,6,N/A,N/A,N/A,N/A,,,,,,,
1446,Nadežda Wallnerová,Okresný súd Malacky,6,N/A,N/A,N/A,N/A,,,,,,,
1447,Silvia Walterová,Mestský súd Bratislava IV,2,N/A,N/A,N/A,N/A,,,,,,,
1449,Júlia Weiserová,Okresný súd Spišská Nová Ves,4,3,6,8,10,,,,,,,
1450,Nadežda Weisová,Mestský súd Bratislava III,N/A,N/A,N/A,N/A,N/A,,,,,,,
1451,Nadežda Weissová,Mestský súd Bratislava III,N/A,N/A,N/A,N/A,N/A,,,,,,,
1452,Iveta Wildeová,Okresný súd Prešov,9,7,6,7,8,,,,,,,
1453,Iveta Willantová,Mestský súd Bratislava V,0,4,8,3,3,,,,,,,
1455,Róbert Záhorák,Okresný súd Nové Zámky,0,N/A,N/A,N/A,N/A,,,,,,,
1457,Peter Zachar,Okresný súd Rimavská Sobota,6,5,9,4,5,,,,,,,
1459,Katarína Zajacová,Okresný súd Prievidza,8,N/A,N/A,N/A,N/A,,,,,,,
