,ID,judge,court,year,concourt.decisions,concourt.delays,assigned.agenda.dominant,C.assigned.agenda,Cb.assigned.agenda,P.assigned.agenda,Trest.assigned.agenda,decided.agenda.dominant,workdays,incoming.10.days,E1,E1.mean,E2,E2.mean,E3,E3.mean,E4,E4.mean,E5,E5.mean,E.score.total.new,affirmed,sum.appeals,Q1,Q1.mean,Q2,Q2.mean,Q3,Q3.mean,dominant.agenda,Q.score.total.new,score.total.new,rank
427,1013,JUDr. Michal Polák,Okresný súd Košice II,2015,1,0,Trest,0,0,0,1516,Trest,1038,73,112.8,97.1,214,377,107,150,50.0,42.6,239,339,16,56,99,56.6,63.8,5.8,8.1,2.5,3.0,Trest,4.5,20.5,417.-443.
428,1364,JUDr. Michal Uhorskai,Okresný súd Revúca,2015,0,0,Trest,0,0,427,1424,Trest,1072,86,113.2,97.1,67,377,32,150,47.8,42.6,65,339,20,57,85,67.1,63.8,4.5,8.1,1.5,3.0,Trest,7.5,27.5,119.-133.
429,2425,JUDr. Michal Valent,Mestský súd Bratislava I,2015,0,0,Trest,0,0,0,554,Trest,502,33,110.8,97.1,71,377,47,150,66.2,42.6,115,339,16.5,41,47,87.2,63.8,9.2,8.1,1.2,3.0,Trest,13.5,30,54.-63.
430,334,JUDr. Mikuláš Géczi,Okresný súd Lučenec,2015,0,0,C,974,0,387,173,C,1087,35,112.1,97.1,351,377,87,150,24.8,42.6,210,339,18,85,95,89.5,67.1,6.6,9.3,0.7,3.0,C,15,33,15.-17.
431,2413,JUDr. Milan Antal,Okresný súd Námestovo,2015,0,0,C,913,0,0,0,C,453,20,74.5,97.1,433,377,154,150,35.6,42.6,417,339,8,14,27,51.9,67.1,4.8,9.3,2.3,3.0,C,3,11,699.-705.
432,360,JUDr. Milan Gylánik,Okresný súd Čadca,2015,0,0,Trest,0,0,0,1162,Trest,1085,54,110.5,97.1,36,377,3,150,8.3,42.6,57,339,22,43,61,70.5,63.8,4.9,8.1,1.4,3.0,Trest,9,31,41.-47.
433,446,JUDr. Milan Hupka,Mestský súd Bratislava II ,2015,0,0,Cb,0,1619,0,0,Cb,1085,75,107.6,97.1,479,377,187,150,39.0,42.6,286,339,16,95,149,63.8,64.9,8.3,8.8,3.0,3.0,Cb,7.5,23.5,286.-303.
434,866,JUDr. Milan Mitterpák,Okresný súd Michalovce,2015,0,0,C,1641,0,4,0,C,1071,16,119.7,97.1,576,377,272,150,47.2,42.6,296,339,17,75,181,41.4,67.1,10.7,9.3,6.3,3.0,C,0,17,557.-575.
435,977,JUDr. Milan Petričko,Okresný súd Trebišov,2015,0,0,Trest,0,0,0,1143,Trest,1078,53,95.0,97.1,58,377,36,150,62.1,42.6,79,339,16,21,32,65.6,63.8,2.9,8.1,1.0,3.0,Trest,7.5,23.5,286.-303.
436,1172,JUDr. Milan Staněk,Mestský súd Bratislava II ,2015,7,2,C,1728,0,0,0,C,877,20,120.7,97.1,333,377,171,150,51.4,42.6,215,339,18,95,149,63.8,67.1,8.2,9.3,3.0,3.0,C,7.5,25.5,194.-213.
437,1181,JUDr. Milan Straka,Okresný súd Trenčín,2015,0,0,Trest,581,0,0,1668,Trest,969,92,31.1,97.1,534,377,212,150,39.7,42.6,955,339,2.5,103,145,71.0,63.8,7.0,8.1,2.0,3.0,Trest,9,11.5,692.-698.
438,1351,JUDr. Milan Trylč,Okresný súd Senica,2015,1,0,C,530,19,127,136,C,1002,19,109.8,97.1,83,377,30,150,36.1,42.6,129,339,19,47,82,57.3,67.1,8.9,9.3,3.8,3.0,C,4.5,23.5,286.-303.
439,1388,JUDr. Milan Vaľuš,Okresný súd Vranov nad Topľou,2015,0,0,C,1783,0,0,58,C,1081,19,98.1,97.1,401,377,155,150,38.7,42.6,284,339,14,181,280,64.6,67.1,15.5,9.3,5.5,3.0,C,7.5,21.5,367.-389.
440,485,JUDr. Milena Jakubíková,Okresný súd Levice,2015,0,0,Trest,0,0,162,2032,Trest,1010,109,112.2,97.1,144,377,40,150,27.8,42.6,104,339,19.5,77,111,69.4,63.8,4.6,8.1,1.4,3.0,Trest,9,28.5,91.-106.
441,502,JUDr. Milina Jánošková,Okresný súd Trenčín,2015,5,1,C,1760,0,27,0,C,899,21,105.7,97.1,594,377,296,150,49.8,42.6,392,339,12,194,356,54.5,67.1,19.3,9.3,8.8,3.0,C,4.5,16.5,576.-590.
442,579,JUDr. Miriam Kohútová,Okresný súd Prievidza,2015,1,0,C,1313,213,491,250,C,1064,57,98.8,97.1,370,377,131,150,35.4,42.6,234,339,15,240,275,87.3,67.1,12.6,9.3,1.6,3.0,C,13.5,28.5,91.-106.
443,971,JUDr. Miriam Penjaková,Okresný súd Ružomberok,2015,0,0,Trest,0,225,48,1286,Trest,997,78,68.4,97.1,121,377,28,150,23.1,42.6,210,339,11,71,128,55.5,63.8,8.5,8.1,3.8,3.0,Trest,4.5,15.5,601.-622.
444,993,JUDr. Miriam Pintová,Okresný súd Levice,2015,3,0,C,1886,38,771,0,C,1049,57,88.3,97.1,773,377,446,150,57.7,42.6,416,339,9.5,53,96,55.2,67.1,3.9,9.3,1.8,3.0,C,4.5,14,650.-662.
445,1168,JUDr. Miriam Srogončíková,Okresný súd Námestovo,2015,3,2,C,979,83,228,60,C,1091,26,80.1,97.1,547,377,214,150,39.1,42.6,443,339,8,87,133,65.4,67.1,10.9,9.3,3.8,3.0,C,7.5,15.5,601.-622.
446,1280,JUDr. Miriam Štillová,Okresný súd Martin,2015,0,0,C,1802,56,28,0,C,1004,22,114.4,97.1,461,377,125,150,27.1,42.6,265,339,18,101,127,79.5,67.1,6.3,9.3,1.3,3.0,C,12,30,54.-63.
447,42,JUDr. Miroslav Baňacký,Okresný súd Košice okolie,2015,0,0,Trest,0,0,0,1796,Trest,1080,83,105.8,97.1,132,377,61,150,46.2,42.6,116,339,17,81,106,76.4,63.8,5.6,8.1,1.3,3.0,Trest,10.5,27.5,119.-133.
448,190,JUDr. Miroslav Číž,Okresný súd Považská Bystrica,2015,1,0,Trest,0,0,0,1709,Trest,1075,79,101.5,97.1,133,377,5274,150,3965.4,42.6,140,339,15,137,225,60.9,63.8,13.1,8.1,5.1,3.0,Trest,6,21,390.-416.
449,215,JUDr. Miroslav Dobrík,Okresný súd Martin,2015,4,0,C,1872,0,32,0,C,1053,19,103.8,97.1,462,377,154,150,33.3,42.6,293,339,15.5,202,315,64.1,67.1,16.1,9.3,5.8,3.0,C,7.5,23,304.-323.
450,481,JUDr. Miroslav Jagnešák,Okresný súd Námestovo,2015,6,1,C,610,395,0,39,0,855,33,69.1,97.1,389,377,141,150,36.2,42.6,609,339,4,102,166,61.4,66.3,16.1,8.8,6.2,2.9,0,6,10,708.-711.
