,id,judge,court,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
273,480,JUDr. Ivana Jaďuďová,Okresný súd Komárno,10,2,7,3
274,3209,JUDr. Mária Szabóová,Okresný súd Bratislava II ,4,4,9,5
275,1225,JUDr. Marta Šašinková,Okresný súd Bratislava II ,6,6,6,5
276,1062,JUDr. Peter Rajňák,Okresný súd Nové Zámky,7,5,7,4
277,970,JUDr. Rastislav Pella,Okresný súd Košice II,10,3,5,4
278,1001,JUDr. Rastislav Plutinský,Okresný súd Dolný Kubín,4,6,8,5
279,161,JUDr. Slavomír Cimerman,Okresný súd Veľký Krtíš,3,9,9,4
280,1154,"JUDr. Stanislav Sojka, PhD.",Okresný súd Michalovce,3,10,10,3
281,1206,Mgr. Erika Szalaiová,Okresný súd Dunajská Streda,8,2,3,7
282,348,Mgr. Lívia Gombárová,Okresný súd Nové Zámky,9,5,8,2
283,824,Mgr. Peter Mezőszállási,Okresný súd Komárno,6,7,7,4
284,91,Mgr. Zuzana Bezáková,Okresný súd Nitra,3,6,9,5
285,874, Marián Mokoš,Okresný súd Topoľčany,3,5,6,7
286,732,JUDr. Anna Lisá,Okresný súd Humenné,10,1,4,5
287,728,JUDr. Daniela Linetová,Okresný súd Bratislava III,5,6,5,6
288,727,JUDr. David Lindtner,Okresný súd Bratislava III,4,7,10,3
289,408,JUDr. Ivo Hlucháň,Okresný súd Považská Bystrica,3,8,9,4
290,2582,JUDr. Ján Petreás,Okresný súd Zvolen,6,5,6,5
291,85,JUDr. Jana Berešová,Okresný súd Trebišov,3,7,8,5
292,848,JUDr. Jozef Mikluš,Okresný súd Košice I,4,3,9,5
293,737,JUDr. Ladislav Lóška,Okresný súd Lučenec,3,8,9,4
294,3214,JUDr. Lenka Augustínová,Okresný súd Žilina,4,5,5,7
295,622,JUDr. Mária Kováčiková,Okresný súd Banská Bystrica,7,3,6,5
296,898,JUDr. Mária Nagyová,Okresný súd Nové Zámky,8,6,8,2
297,334,JUDr. Mikuláš Géczi,Okresný súd Lučenec,4,2,5,8
298,971,JUDr. Miriam Penjaková,Okresný súd Ružomberok,3,8,9,4
299,1168,JUDr. Miriam Srogončíková,Okresný súd Námestovo,7,4,7,4
300,3416,JUDr. Miroslava Šibíková,Okresný súd Nové Mesto nad Váhom,1,5,5,9
301,3337,JUDr. Monika Šabľová,Okresný súd Poprad,4,4,7,6
302,3357,JUDr. Monika Vozárová,Okresný súd Trnava,6,3,4,7
303,1432,JUDr. Myrtill Vojteková,Okresný súd Galanta,6,4,8,4
304,1465,JUDr. Nora Zátopková,Okresný súd Martin,5,4,6,6
305,911,JUDr. Oľga Nižňanská,Okresný súd Bratislava II ,7,4,4,6
306,1081,JUDr. Pavel Rohárik,Okresný súd Banská Bystrica,9,2,6,4
307,32,JUDr. Radoslav Baláž,Okresný súd Spišská Nová Ves,3,7,8,5
308,1177,JUDr. Rastislav Stieranka,Okresný súd Dolný Kubín,5,7,9,3
309,635,JUDr. Renáta Krajčiová,Okresný súd Ružomberok,3,7,8,5
310,834,JUDr. Renáta Mihalíková,Okresný súd Topoľčany,3,7,8,5
311,626,JUDr. Viera Kováčová,Okresný súd Košice II,10,1,4,5
312,100,JUDr. Zuzana Biščáková,Okresný súd Prešov,5,6,8,4
313,211,Mgr. Adriana Dobiášová,Okresný súd Nitra,3,3,7,7
314,2149,Mgr. Mgr. Miriam Plavčáková,Okresný súd Bratislava I,10,0,0,8
315,1328,Mgr. Pavol Tomík,Okresný súd Bratislava I,3,4,8,6
316,273,Mgr. Štefan Fedor,Okresný súd Prievidza,6,5,6,5
317,464, Ľuboš Chrenko,Okresný súd Topoľčany,3,5,4,8
318,800,JUDr. Andrej Matušovic,Okresný súd Žiar nad Hronom,3,2,10,5
319,267,JUDr. Beáta Farkašová,Okresný súd Bratislava III,7,4,5,5
320,1063,JUDr. Daniela Rajňáková,Okresný súd Nové Zámky,3,8,7,5
321,1363,JUDr. Erik Uhlár,Okresný súd Stará Ľubovňa,3,2,7,7
322,3170,JUDr. Eva Kerecmanová,Okresný súd Košice okolie,4,3,4,8
323,1120,JUDr. Eva Schweitzerová,Okresný súd Galanta,4,5,9,4
324,1353,JUDr. Gabriela Tučková,Okresný súd Žilina,3,9,8,4
325,55,JUDr. Ivan Bartek,Okresný súd Bratislava III,6,6,5,5
326,3055,JUDr. Lenka Bowker,Okresný súd Košice I,10,2,3,5
327,441,JUDr. Ľubomír Hudák,Okresný súd Malacky,3,7,9,4
328,1082,JUDr. Marián Rošak,Okresný súd Martin,3,7,9,4
329,539,JUDr. Mário Karaffa,Okresný súd Galanta,10,3,7,2
330,777,JUDr. Markéta Marečková,Okresný súd Poprad,9,3,5,4
331,2566,JUDr. Miroslav Šedivec,Okresný súd Revúca,3,7,9,4
332,1084,JUDr. Pavol Roth,Okresný súd Poprad,3,5,10,4
333,1273,JUDr. René Štepánik,Okresný súd Bratislava V,3,7,9,4
334,860,JUDr. Silvia Minková,Okresný súd Zvolen,5,6,6,5
335,3278,JUDr. Tatiana Redenkovičová,Okresný súd Bratislava IV,5,2,5,7
336,429,JUDr. Vladimír Hric,Okresný súd Poprad,3,5,10,4
337,631,JUDr. Vladimír Kozáčik,Okresný súd Žilina,7,3,4,6
338,495,Mgr. Alena Jančulová,Okresný súd Čadca,5,5,5,6
339,990,Mgr. Daniela Pilarčíková,Okresný súd Námestovo,3,7,9,4
340,741,Mgr. Juraj Lukáč,Okresný súd Liptovský Mikuláš,3,6,8,5
341,1238,Mgr. Katarína Šimková,Okresný súd Trenčín,3,5,4,8
342,426,Mgr. Marta Hrenčuková,Okresný súd Rožňava,3,7,9,4
343,2580,"Mgr. Radoslav Smatana, PhD.",Okresný súd Partizánske,3,5,7,6
344,460,Mgr. Vojtech Chmelan,Okresný súd Prievidza,3,7,9,4
345,111, Ján Bodnár,Okresný súd Rimavská Sobota,3,4,10,4
346,1175,JUDr. Blažena Stašíková,Okresný súd Ružomberok,4,7,9,3
347,339,JUDr. Iveta Gildeinová,Okresný súd Humenné,4,4,6,6
348,372,JUDr. Iveta Halvoňová,Okresný súd Bratislava III,4,4,9,4
349,1360,JUDr. Jana Tvrdá,Okresný súd Piešťany,4,4,6,6
350,2563,JUDr. Karol Rihák,Okresný súd Bratislava IV,5,5,3,7
351,658,JUDr. Katarína Krivulčíková,Okresný súd Považská Bystrica,3,7,7,5
352,967,JUDr. Lenka Pavlovičová,Okresný súd Nové Mesto nad Váhom,3,4,4,8
353,270,JUDr. Ľubica Farkašová,Okresný súd Nitra,5,5,6,5
354,1402,JUDr. Ľubov Vargová,Okresný súd Humenné,1,8,7,6
355,3430,JUDr. Lucia Tóth,Okresný súd Bratislava IV,8,3,4,5
356,403,JUDr. Mária Hirjaková,Okresný súd Michalovce,4,5,7,5
357,948,JUDr. Michaela Pacherová,Okresný súd Bratislava II ,5,3,7,5
358,993,JUDr. Miriam Pintová,Okresný súd Levice,9,3,6,3
359,586,JUDr. Natália Kolláriková,Okresný súd Bratislava V,8,3,4,5
360,1306,JUDr. Oľga Tatranská,Okresný súd Košice okolie,10,1,6,3
361,2418,JUDr. Oliver Kolenčík,Okresný súd Nitra,5,8,6,4
362,397,JUDr. Peter Heinrich,Okresný súd Nitra,5,3,4,7
363,501,JUDr. Róbert Jankovský,Okresný súd Považská Bystrica,3,6,9,4
364,563,JUDr. Zdenka Kleimanová,Okresný súd Bratislava V,10,2,4,4
365,677,JUDr. Zuzana Kudlovská,Okresný súd Košice I,10,1,3,5
366,924,Mgr. Janette Nôtová,Okresný súd Zvolen,7,5,7,3
367,697,Mgr. Lenka Kvasnicová,Okresný súd Trenčín,8,2,3,6
368,1128,Mgr. Peter Sivák,Okresný súd Humenné,4,5,7,5
369,3013,JUDr. Adriana Pytliaková Dr.,Okresný súd Čadca,4,3,6,6
370,325,JUDr. Alica Gavalcová,Okresný súd Brezno,3,8,6,5
371,779,JUDr. Alžbeta Marková,Okresný súd Rimavská Sobota,0,10,2,9
372,905,JUDr. Erika Némethová Stiffelová,Okresný súd Bratislava V,3,5,9,4
373,149,JUDr. Janka Butašová,Okresný súd Skalica,10,0,3,5
374,1019,JUDr. Karol Posluch,Okresný súd Bratislava III,3,5,9,4
375,496,JUDr. Katarína Janečková,Okresný súd Rožňava,3,5,6,6
376,479,JUDr. Mária Jačeková Sziegel,Okresný súd Dunajská Streda,7,3,6,4
377,987,JUDr. Mariana Philadelphyová,Okresný súd Zvolen,3,5,9,4
378,2539,JUDr. Michal Mravec,Okresný súd Čadca,4,6,6,5
379,1351,JUDr. Milan Trylč,Okresný súd Senica,4,7,10,2
380,2578,JUDr. Monika Kráľová,Okresný súd Spišská Nová Ves,3,8,9,3
381,93,JUDr. Pavol Bielik,Okresný súd Prievidza,4,5,8,4
382,44,JUDr. Peter Banský,Okresný súd Zvolen,6,5,6,4
383,1201,JUDr. Renáta Sýkorová,Okresný súd Žilina,2,9,5,6
384,1136,JUDr. Viera Sláviková,Okresný súd Senica,5,5,7,4
385,1397,JUDr. Vladimír Varga,Okresný súd Humenné,3,5,9,4
386,846,JUDr. Zuzana Miklošová,Okresný súd Trebišov,3,7,5,6
387,1125,JUDr. Zuzana Singerová,Okresný súd Nitra,10,3,6,2
388,1151,Mgr. Dagmar Snopeková,Okresný súd Topoľčany,3,5,6,6
389,2065,JUDr. Andrej Radomský,Okresný súd Michalovce,6,4,6,4
390,169,JUDr. Denisa Cviková,Okresný súd Bratislava I,5,2,8,4
391,1220,JUDr. Denisa Šaligová,Okresný súd Nitra,9,4,0,6
392,702,JUDr. Gabriela Kyseľová,Okresný súd Námestovo,7,3,7,3
