,judge,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
333,JUDr. Ľuboslava Vanková,4,8,6,8
334,JUDr. Ľuboš Baka,6,8,10,5
335,JUDr. Ľuboš Szigeti,6,5,6,1
336,JUDr. Ľuboš Vereš,9,3,9,4
337,JUDr. Ľubov Vargová,5,6,5,6
338,JUDr. Lucia Prčová,2,7,6,10
339,JUDr. Ľudmila Škvaridlová,6,6,6,10
340,JUDr. Lýdia Lučivjanská,0,9,5,5
341,JUDr. Magdaléna Balážová,7,9,8,8
342,JUDr. Magdaléna Klimková,5,8,9,8
343,JUDr. Magdaléna Korčáková,7,7,6,2
344,JUDr. Marcel Kirnág,2,4,2,2
345,JUDr. Marcela Kačmárová,4,8,6,7
346,JUDr. Marcela Malatká,8,3,9,5
347,JUDr. Marek Bujňák,6,6,5,8
348,JUDr. Marek Čech,7,0,9,6
349,JUDr. Marek Kotora,1,0,8,3
350,JUDr. Marek Šenkár,8,3,8,9
351,JUDr. Margaréta Jurková Žoldáková,5,5,9,8
352,JUDr. Margita Kovaľová,5,7,6,3
353,JUDr. Margita Žilková,7,9,7,10
354,JUDr. Mária Blahovská,4,6,6,2
355,JUDr. Mária Cifrová,7,5,7,5
356,JUDr. Mária Čechovičová,0,10,2,7
357,JUDr. Mária Červenáková,3,7,5,6
358,JUDr. Mária Filová,4,10,6,3
359,JUDr. Mária Gazdačková,6,7,6,7
360,JUDr. Mária Hirjaková,4,4,7,5
361,JUDr. Mária Husárová,2,5,4,0
362,JUDr. Mária Jačeková Sziegel,6,4,3,4
363,JUDr. Mária Képessyová,10,0,8,3
364,JUDr. Mária Kováčiková,4,7,5,6
365,JUDr. Mária Krausová,7,3,9,3
366,JUDr. Mária Kubusová,1,4,10,1
367,JUDr. Mária Nagyová,5,9,7,2
368,JUDr. Mária Ondrejová,6,4,9,6
369,JUDr. Mária Ondriašová,6,1,0,4
370,JUDr. Mária Petrušková,5,4,9,4
371,JUDr. Mária Piusová,5,10,10,8
372,JUDr. Mária Špániková,8,2,3,3
373,JUDr. Mária Žáková,10,0,5,7
374,JUDr. Marián Furman,2,6,6,5
375,JUDr. Marián Jančovič,0,7,0,3
376,JUDr. Marián Kurinec,5,5,5,0
377,JUDr. Marián Mačura,6,9,10,6
378,JUDr. Marián Manduch,8,5,9,6
379,JUDr. Marián Polaček,5,6,9,5
380,JUDr. Marián Rošak,9,4,10,4
381,JUDr. Marián Sopoliga,10,10,8,4
382,JUDr. Marián Tengely,10,1,3,7
383,JUDr. Marián Török,7,5,10,2
384,JUDr. Marián Vorobel,5,4,10,6
385,JUDr. Mariana Gavalierová,3,6,4,2
386,JUDr. Mariana Ginelliová,6,7,9,7
387,JUDr. Mariana Harvancová,7,1,3,6
388,JUDr. Mariana Philadelphyová,7,3,9,4
389,JUDr. Mariana Podbehlá,3,8,5,7
390,JUDr. Marianna Hosťovecká,4,7,5,3
391,JUDr. Marie Mészárosová,2,6,3,3
392,JUDr. Mário Karaffa,6,5,6,2
393,JUDr. Mário Šulej,7,7,10,8
394,JUDr. Markéta Marečková,2,7,5,5
395,JUDr. Marta Barková,9,2,0,5
396,JUDr. Marta Kamenská,9,8,8,3
397,JUDr. Marta Melicherčíková,4,5,4,6
398,JUDr. Marta Raábová,6,3,4,2
399,JUDr. Marta Rybárová,7,4,6,7
400,JUDr. Marta Šašinková,5,6,6,5
401,JUDr. Martin Baločko,7,5,10,6
402,JUDr. Martin Baran,4,6,4,8
403,JUDr. Martin Ivan,5,6,8,8
404,JUDr. Martin Kolesár,4,7,4,4
405,JUDr. Martin Kollár,6,3,9,1
406,JUDr. Martin Kopina,7,3,6,5
407,JUDr. Martin Kopšo,10,3,6,2
408,"JUDr. Martin Lopuch, PhD.",5,5,5,3
409,JUDr. Martin Smolko,2,9,6,3
410,JUDr. Martin Stretavský,5,7,10,1
411,JUDr. Martin Žovinec,4,2,8,7
412,JUDr. Martina Balegová,3,6,3,8
413,JUDr. Martina Brniaková,9,7,6,9
414,JUDr. Martina Dubovcová,10,4,0,0
415,JUDr. Martina Koreňová,7,10,7,10
416,JUDr. Martina Ľachová,3,7,4,5
417,JUDr. Martina Melníková,5,7,6,7
418,JUDr. Martina Petríková,2,10,4,5
419,JUDr. Michaela Krajčová,9,6,8,7
420,JUDr. Michaela Králová,0,10,0,5
421,JUDr. Michaela Pacherová,4,4,5,5
422,JUDr. Michal Antala,6,6,9,7
423,JUDr. Michal Dzurdzík,7,5,8,6
424,JUDr. Michal Fiala,4,5,7,7
425,JUDr. Michal Kubiš,0,9,3,7
426,JUDr. Michal Mravec,3,8,7,6
427,JUDr. Michal Polák,7,4,7,3
428,JUDr. Michal Uhorskai,8,4,10,5
429,JUDr. Michal Valent,7,1,9,9
430,JUDr. Mikuláš Géczi,7,8,7,10
431,JUDr. Milan Antal,1,6,4,2
432,JUDr. Milan Gylánik,7,10,10,6
433,JUDr. Milan Hupka,7,6,6,5
434,JUDr. Milan Mitterpák,9,4,6,0
435,JUDr. Milan Petričko,5,2,10,5
436,JUDr. Milan Staněk,9,4,7,5
437,JUDr. Milan Straka,0,5,0,6
438,JUDr. Milan Trylč,7,6,9,3
439,JUDr. Milan Vaľuš,5,6,6,5
440,JUDr. Milena Jakubíková,7,7,9,6
441,JUDr. Milina Jánošková,6,4,4,3
442,JUDr. Miriam Kohútová,5,6,7,9
